number,title,state,created_at,closed_at,comments,author_association,state_reason,labels
65717,CI: Update pixi.lock,open,2026-05-24 05:34:32+00:00,,0,CONTRIBUTOR,,"[{'id': 48070600, 'node_id': 'MDU6TGFiZWw0ODA3MDYwMA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/CI', 'name': 'CI', 'color': 'a2bca7', 'default': False, 'description': 'Continuous Integration'}]"
65716,BUG: DataFrame.update warns when index dtype mismatch causes silent no-op,closed,2026-05-23 23:05:41+00:00,2026-05-24 04:28:42+00:00,0,NONE,,[]
65715,DOC: fix incorrect alignment description in where/mask docstrings,open,2026-05-23 19:32:56+00:00,,0,NONE,,[]
65714,BUG: raise on melt output-name collisions for var_name (#65654),open,2026-05-23 19:21:35+00:00,,0,NONE,,[]
65713,BUG: handle chained Path division with Arrow strings,open,2026-05-23 10:19:50+00:00,,0,NONE,,[]
65712,API: how to handle time zone (DST) transitions in the distant future?,open,2026-05-22 16:33:03+00:00,,0,MEMBER,,"[{'id': 35818298, 'node_id': 'MDU6TGFiZWwzNTgxODI5OA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/API%20Design', 'name': 'API Design', 'color': 'AD7FA8', 'default': False, 'description': None}, {'id': 60458168, 'node_id': 'MDU6TGFiZWw2MDQ1ODE2OA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Timezones', 'name': 'Timezones', 'color': '5319e7', 'default': False, 'description': 'Timezone data dtype'}, {'id': 219960758, 'node_id': 'MDU6TGFiZWwyMTk5NjA3NTg=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Needs%20Discussion', 'name': 'Needs Discussion', 'color': '207de5', 'default': False, 'description': 'Requires discussion from core team before further action'}]"
65711,BUG: fix DataFrame.any/all(skipna=False) raising on nullable dtypes,open,2026-05-22 14:33:12+00:00,,1,CONTRIBUTOR,,[]
65710,BUG: `DataFrame.any`/`all(skipna=False)` raises ValueError instead of returning NA,open,2026-05-22 14:26:32+00:00,,0,CONTRIBUTOR,,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 1954720290, 'node_id': 'MDU6TGFiZWwxOTU0NzIwMjkw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Needs%20Triage', 'name': 'Needs Triage', 'color': '0052cc', 'default': False, 'description': 'Issue that has not been reviewed by a pandas team member'}]"
65709,BUG: keep groupby apply return type consistent,open,2026-05-22 13:41:57+00:00,,0,NONE,,[]
65708,BUG: Use Windows intsafe only for MSVC,open,2026-05-22 13:40:08+00:00,,2,NONE,,[]
65707,BUG: support callable EWM aggregations,open,2026-05-22 12:15:03+00:00,,0,NONE,,[]
65706,DOC: clarify interpolate kwargs,open,2026-05-22 11:33:10+00:00,,0,NONE,,[]
65705,BUG/API: restore usage of DST transition rules up to 2262,open,2026-05-22 08:19:38+00:00,,0,MEMBER,,"[{'id': 60458168, 'node_id': 'MDU6TGFiZWw2MDQ1ODE2OA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Timezones', 'name': 'Timezones', 'color': '5319e7', 'default': False, 'description': 'Timezone data dtype'}]"
65704,BUG: raise on melt output column collisions,open,2026-05-22 03:10:19+00:00,,0,NONE,,[]
65703,TST: cover unstack default sort behavior,open,2026-05-22 02:59:06+00:00,,0,NONE,,[]
65702,BUG: raise consistent error for BooleanArray logical ops with dtype-less sequences (#63095),open,2026-05-22 01:56:28+00:00,,0,NONE,,[]
65701,BUG: Fix MultiIndex.equals regression regarding code bit-width (#65700),open,2026-05-21 15:30:42+00:00,,4,CONTRIBUTOR,,[]
65700,REGR (main): MultiIndex.equals now takes into account bitwidth of the codes,open,2026-05-21 13:09:01+00:00,,2,MEMBER,,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}]"
65699,TYP: widen duplicated() input type to AnyArrayLike (GH 42604),open,2026-05-21 03:28:44+00:00,,0,NONE,,[]
65698,PERF: Fix performance regression in DatetimeIndex.equals,open,2026-05-20 21:27:22+00:00,,1,MEMBER,,[]
65697,"Revert ""BUG: reject unhashable elements in Index constructor (#64798)""",closed,2026-05-20 16:38:19+00:00,2026-05-20 21:22:12+00:00,1,MEMBER,,"[{'id': 1218227310, 'node_id': 'MDU6TGFiZWwxMjE4MjI3MzEw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Index', 'name': 'Index', 'color': 'e99695', 'default': False, 'description': 'Related to the Index class or subclasses'}]"
65696,BUG: ensure from_arrow() methods use same arrow->pandas conversion as other IO methods,open,2026-05-20 16:12:14+00:00,,0,MEMBER,,"[{'id': 3303158446, 'node_id': 'MDU6TGFiZWwzMzAzMTU4NDQ2', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Arrow', 'name': 'Arrow', 'color': 'f9d0c4', 'default': False, 'description': 'pyarrow functionality'}]"
65693,[backport 3.0.x] TST: Adjust xfails for fastparquet 2026.05.0 (#65668),closed,2026-05-20 14:03:23+00:00,2026-05-20 16:33:10+00:00,0,MEMBER,,[]
65692,BUG: fix Index.str.findall regression with list results,open,2026-05-20 10:37:20+00:00,,0,NONE,,[]
65691,TST: PoC for CoW inplace validation utility (GH #65676),open,2026-05-20 04:44:40+00:00,,5,NONE,,[]
65690,BUG: pyarrow-nightly CI fails during Pixi install due to stale locked nightly wheel,open,2026-05-20 02:20:34+00:00,,5,CONTRIBUTOR,reopened,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 1954720290, 'node_id': 'MDU6TGFiZWwxOTU0NzIwMjkw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Needs%20Triage', 'name': 'Needs Triage', 'color': '0052cc', 'default': False, 'description': 'Issue that has not been reviewed by a pandas team member'}]"
65689,BUG: pyarrow-nightly CI fails during Pixi install due to stale locked nightly wheel,closed,2026-05-20 02:16:42+00:00,2026-05-20 03:58:29+00:00,0,CONTRIBUTOR,,[]
65688,ASV: Run inplace fillna once per setup,open,2026-05-20 00:26:12+00:00,,1,MEMBER,,[]
65687,BLD: bump meson to 1.3.0,closed,2026-05-19 22:57:59+00:00,2026-05-20 00:30:11+00:00,1,MEMBER,,[]
65686,BUG: Fix Index.where raising AssertionError when other is a RangeIndex,closed,2026-05-19 18:54:58+00:00,2026-05-21 14:34:32+00:00,7,CONTRIBUTOR,,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 1218227310, 'node_id': 'MDU6TGFiZWwxMjE4MjI3MzEw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Index', 'name': 'Index', 'color': 'e99695', 'default': False, 'description': 'Related to the Index class or subclasses'}]"
65685,"BUG: Index.where(..., Index) fails on 3.1.0 but works on 3.0.3",closed,2026-05-19 13:39:44+00:00,2026-05-21 14:34:35+00:00,4,MEMBER,completed,"[{'id': 76811, 'node_id': 'MDU6TGFiZWw3NjgxMQ==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Bug', 'name': 'Bug', 'color': 'e10c02', 'default': False, 'description': None}, {'id': 1218227310, 'node_id': 'MDU6TGFiZWwxMjE4MjI3MzEw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Index', 'name': 'Index', 'color': 'e99695', 'default': False, 'description': 'Related to the Index class or subclasses'}]"
65684,ENH: Add `df.corrupt()` accessor to inject random faults and typos for Data Science education,closed,2026-05-19 06:52:43+00:00,2026-05-19 20:08:10+00:00,1,NONE,completed,"[{'id': 76812, 'node_id': 'MDU6TGFiZWw3NjgxMg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Enhancement', 'name': 'Enhancement', 'color': '4E9A06', 'default': False, 'description': None}, {'id': 1954720290, 'node_id': 'MDU6TGFiZWwxOTU0NzIwMjkw', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Needs%20Triage', 'name': 'Needs Triage', 'color': '0052cc', 'default': False, 'description': 'Issue that has not been reviewed by a pandas team member'}]"
65683,DEPR: deprecate inplace keyword in the DataFrame.drop() method,open,2026-05-19 03:06:08+00:00,,2,CONTRIBUTOR,,"[{'id': 87485152, 'node_id': 'MDU6TGFiZWw4NzQ4NTE1Mg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Deprecate', 'name': 'Deprecate', 'color': '5319e7', 'default': False, 'description': 'Functionality to remove in pandas'}, {'id': 3498153567, 'node_id': 'LA_kwDOAA0YD87QgZZf', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/inplace', 'name': 'inplace', 'color': '4530B5', 'default': False, 'description': 'Relating to inplace parameter or equivalent'}]"
65682,BUG(pandas 3.0 regression): drop(index=...) doesn't accept NA values when using arrow dtype in index,open,2026-05-19 00:20:41+00:00,,0,CONTRIBUTOR,,[]
65681,ASV: garbage collect as part of setup,closed,2026-05-18 21:24:09+00:00,2026-05-23 17:26:56+00:00,1,MEMBER,,"[{'id': 76812, 'node_id': 'MDU6TGFiZWw3NjgxMg==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Enhancement', 'name': 'Enhancement', 'color': '4E9A06', 'default': False, 'description': None}, {'id': 732775912, 'node_id': 'MDU6TGFiZWw3MzI3NzU5MTI=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Benchmark', 'name': 'Benchmark', 'color': 'ae68cc', 'default': False, 'description': 'Performance (ASV) benchmarks'}]"
65680,Bump github/codeql-action from 4.35.4 to 4.35.5,closed,2026-05-18 13:54:43+00:00,2026-05-18 15:27:45+00:00,0,CONTRIBUTOR,,"[{'id': 48070600, 'node_id': 'MDU6TGFiZWw0ODA3MDYwMA==', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/CI', 'name': 'CI', 'color': 'a2bca7', 'default': False, 'description': 'Continuous Integration'}, {'id': 527603109, 'node_id': 'MDU6TGFiZWw1Mjc2MDMxMDk=', 'url': 'https://api.github.com/repos/pandas-dev/pandas/labels/Dependencies', 'name': 'Dependencies', 'color': 'd93f0b', 'default': False, 'description': 'Required and optional dependencies'}]"
